asin,title,price,rating,image,product_url,ad_or_organic
B0FWDBH2T2,,"₹2,02,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/615tKndaduL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODE4ODg3MDQxODM0Mjc5OjE3NjMxODQyNzc6c3BfbXRmOjMwMDc5NDY5ODUxMTYzMjo6MDo6&url=%2FApple-2025-MacBook-Laptop-10%25E2%2580%2591core%2Fdp%2FB0FWDBH2T2%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1763184277%26sr%3D8-11-spons%26aref%3D1cHwUP0Uyl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=1cHwUP0Uyl&sp_cr=ZAZ,Ad
B0FWDBH2T2,,,,,,Organic
B0DSFQZTVW,,"₹59,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/710ChwsODKL._AC_UY218_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4ODE4ODg3MDQxODM0Mjc5OjE3NjMxODQyNzc6c3BfbXRmOjMwMDUxMTcyNDkzOTAzMjo6MDo6&url=%2FDell-15DC15250-Intel-Core-13th%2Fdp%2FB0DSFQZTVW%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1763184277%26sr%3D8-12-spons%26aref%3DhblGNX1gro%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=hblGNX1gro&sp_cr=ZAZ,Ad
B0DSFQZTVW,,,,,,Organic
B0C42ZTMWR,,"₹35,490",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61PL9x1X8aL._AC_UY218_.jpg,https://www.amazon.in/HP-14-inch-Graphics-Privacy-em0026AU/dp/B0C42ZTMWR/ref=sr_1_13?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-13,Organic
B0C42ZTMWR,,,,,,Organic
B0FWD7JSX7,,"₹1,64,490",5.0 out of 5 stars,https://m.media-amazon.com/images/I/615tKndaduL._AC_UY218_.jpg,https://www.amazon.in/Apple-2025-MacBook-Laptop-10%E2%80%91core/dp/B0FWD7JSX7/ref=sr_1_14?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-14,Organic
B0FWD7JSX7,,,,,,Organic
B0FNS3DM56,,"₹47,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61HRuwOTNPL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-1920x1080-Antiglare-Windows-83A0A0PTIN/dp/B0FNS3DM56/ref=sr_1_15?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-15,Organic
B0FNS3DM56,,,,,,Organic
B0D3HG5CMG,,"₹30,700",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61SHFVKs+AL._AC_UY218_.jpg,https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_16?dib=eyJ2IjoiMSJ9.3esdK-8sSKKsoA-5uKgrXlL0UuxIRGp8kNWtxW6l2n9YUrYm7HUSl1XDjV0eeZxpf70_aMxKs2WLkm-RqsO2J8VDE0NoZw5Xty8ckuRKIvLENyHtLsZm0NKILiBXwkBmXpnqYFAjb4rBXnfqbtBdfHqKGdG8IyRDy8HGbkKZzbk6yLbEcsnD07dCC2RSO0155L6PvCE-j2rW_keHZzZemDzV_hrin698tVrAfe3z9EY._IWuiFgpsG-cpaXD0YWi3omVUzsKGrgZKsYHbZN_3GQ&dib_tag=se&keywords=laptop&qid=1763184277&sr=8-16,Organic
B0D3HG5CMG,,,,,,Organic
